Indicação de data e hora;Qual é a sua idade?;Sexo;Escolaridade;Em que bairro você mora?;Qual é a sua profissão?;Qual é o seu artista musical favorito?;Através de que meio você descobriu esse artista?;Que meio você mais usa para ouvir música?;Que meio você mais usa para conhecer novas músicas?;Você tem o hábito de ouvir o rádio?;Qual estação de rádio você mais escuta?;Em quais horários você mais ouve rádio?;Com qual finalidade você ouve o rádio?;Você acompanha algum programa de rádio específico?;Você acompanha ou gosta de algum radialista?
10/17/2015 11:33:29;43;0;5;Centro;Coordenador;Daniel;TV;Mídias Sociais (internet);Amigos;Não;NA;NA;NA;NA;NA
10/17/2015 11:41:49;33;0;4;Conjunto Santa Maria;Auxiliar Administrativo;Paulo César Baruk ;Mídias Sociais (internet);CD;Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
10/17/2015 11:52:52;31;1;3;São Gabriel;Monitor de PEI(Escola integrada);Walmir Alencar;Igreja; internet;internet;Não;NA;NA;NA;NA;NA
10/17/2015 11:53:00;36;1;4;SÃO PEDRO;PUBLICITÁRIO;ELVIS PRESLEY;TV;Mídias Sociais (internet);Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
10/17/2015 11:55:50;37;1;5;GRAJAU;ADMINISTRADOR;U2;Rádio;Rádio;Mídias Sociais (internet);Sim;105,1;Manhã;Ouvir música, Conhecer músicas novas, Ouvir notícias;não;não
10/17/2015 12:09:49;26;0;4;Caiçara;Auxiliar administrativo ;Ze Ramalho;Rádio;Mídias Sociais (internet);Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
10/17/2015 12:11:54;18;1;3;Milionários;estudante;Emicida;Amigos;Spotify;Amigos;Sim;98 fm;Noite;Conhecer músicas novas, notícias;Não;Não
10/17/2015 12:14:53;49;1;5;CONTAGEM;ADMINISTRADOR;ZÉ RAMALHO;Rádio;Rádio;Mídias Sociais (internet);Sim;CBN;Noite;NOTÍCIAS;JORNAL;MAX GEHRINGER
10/17/2015 12:21:22;34;1;5;FLORAMAR;ENGENHEIRO CIVIL;MICHAEL JACKSON;TV;Rádio;Rádio;Sim;CBN;Tarde;Ouvir notícias;QUATRO EM CAMPO;DUDU GRAFITTE
10/17/2015 13:12:01;29;1;3;são Benedito;motorista;Thalles Robert;Rádio;Rádio;Mídias Sociais (internet);Sim;90.1;Noite;Ouvir música;sim;nao
10/17/2015 13:24:50;30;0;3;concórdia ;Recepcionista ;Henrique e juliano ;Rádio;Mídias Sociais (internet);Mídias Sociais (internet);Sim;transamerica ;Tarde;Ouvir música, Conhecer músicas novas, Ouvir notícias;Não ;Não 
10/17/2015 14:56:00;41;0;4;São Benedito;Analista de DP;Oswaldo Montenegro;Rádio;pen drive;Rádio;Sim;98;Manhã;Ouvir música, Ouvir notícias;Não;Não
10/17/2015 15:15:27;24;0;3;Guarujá ;Estudante ;Jeremy Camp;Amigos;Mídias Sociais (internet);Mídias Sociais (internet);Sim;90.1 FM;Manhã;Ouvir música, Conhecer músicas novas, Ouvir pregações religiosas;Não ;Não 
10/18/2015 3:40:44;19;0;3;Guarani;Estudante;Jesus Cristo;Bíblia;Mídias Sociais (internet);Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
10/18/2015 13:19:18;28;1;3;Maria Helena Venda Nova;Professor de música Educação Infantil;Djavan ;CD;Celular MP3;Celular MP3;Não;NA;NA;NA;NA;NA
10/18/2015 14:10:28;19;1;3;Providência;Estagiário;Oficina G3;Sinceramente não lembro, desde criança eu escuto a música deles. ;Rádio;Rádio;Sim;98FM;Tarde;Conhecer músicas novas, Ouvir notícias, Ouvir informações sobre futebol e programas de humor. ;98 Futebol Clube e Graffite;Sou fã de vários mas o principais são o Eduardo Schechetel (Dudu), Alberto Rodrigues e o Gilbert Campos. 
10/18/2015 18:08:22;31;1;3;Alvorada - Contagem;Guarda Municipal de BH;Bono Vox / U2;Amigos;Mídias Sociais (internet);Mídias Sociais (internet);Sim;Alvorada FM 94,9;Manhã;Ouvir música, Obter informações sobre o trânsito;Não;Não
10/18/2015 22:59:30;23;0;3;Sion;Estudante;Damien Rice;Amigos;Celular;Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
10/18/2015 23:24:51;18;0;3;Glória;Cantora;Maria Rita;Rádio;Mídias Sociais (internet);Mídias Sociais (internet);Sim;99,1;Tarde;Ouvir música;Não;Não
10/19/2015 8:16:55;29;0;5;Planalto - BH;Socióloga;Lenine;Rádio;playlist de pendrive;Amigos;Não;NA;NA;NA;NA;NA
10/19/2015 9:52:07;30;0;3;São Francisco;Auxiliar Administrativo;David Matheus;Amigos;Mídias Sociais (internet);Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
10/19/2015 10:35:26;23;0;4;Floresta;Psicóloga;Dominic Balli;Mídias Sociais (internet);mp3 - através do celular;Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
10/19/2015 11:10:22;25;0;2;Floresta;Técnico em Saúde Bucal;Não sei, gosto de vários;Mídias Sociais (internet);Mídias Sociais (internet);Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
10/19/2015 11:14:17;20;1;3;Sagrada Família;Estudante;Periphery;Mídias Sociais (internet);Mídias Sociais (internet);Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
10/19/2015 11:21:45;22;1;3;Sagrada Familia;Estagiario;Não tenho;Não tenho um artista favorito;Rádio;Mídias Sociais (internet);Sim;98;Tarde;Ouvir música;Não;Não
10/19/2015 13:19:21;22;1;3;leticia;músico;renato russo;influiencia de minha familia;Mídias Sociais (internet);Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
10/19/2015 15:21:45;25;0;2;Glória;Professora de música;Berlin Filarmonica;Mídias Sociais (internet);Mídias Sociais (internet);Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
10/19/2015 17:48:22;21;1;3;Sagrada Família ;Orientador Social;Ana Paula Valadão;CD;CD;Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
10/19/2015 17:51:55;26;0;3;Horto;Musicista;Lenine;TV;Mídias Sociais (internet);Mídias Sociais (internet);Sim;94,9;Noite;Ouvir música;Não;Gosto do Elias Santos, mas não o acompanho.
10/20/2015 17:54:05;27;1;5;São Francisco;Analista de Sistemas;Metallica;Amigos;Mídias Sociais (internet);Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
10/22/2015 14:54:31;36;0;2;Maria Goreth;Mucissista ;Clara Nunes;Meu pai;Celular;Mídias Sociais (internet);Sim;Inconfidência;Tarde;Conhecer músicas novas;Samba bate outra vez;Tuty maravilha
10/22/2015 19:06:19;55;0;5;nova suiça;contadora ;varios;Rádio;Mídias Sociais (internet);Mídias Sociais (internet);Sim;ALVORADA FM;Tarde;Ouvir música, Ouvir notícias, Ouvir pregações religiosas;PADRE REGINALDO MANZOTTI;NAO
10/22/2015 22:13:36;36;1;2;Maria Goretti;motorista de caminhão;Ronaldo Coisa Nossa;NA;CD;Mídias Sociais (internet);Sim;Inconfidência;Tarde;Ouvir música;não;nã0
10/23/2015 19:46:15;34;1;5;Prado;funcionario publico / produtor musical;nao ha;nao se aplica;estudio;Mídias Sociais (internet);Sim;inconfidencia;Noite;Ouvir música, Ouvir notícias;nao;nao
10/24/2015 1:19:48;23;1;3;Itapoã;Organista;Milton Nascimento;Mídias Sociais (internet);Mídias Sociais (internet);Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
10/24/2015 14:16:08;22;0;3;Nova Pampulha;Estudante;Nivea Soares;Mídias Sociais (internet);Celular;Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
10/24/2015 14:21:00;28;1;5;Nova Pampulha;Administrador;Thalles Roberto;Mídias Sociais (internet);Som do carro;Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
10/26/2015 18:20:53;35;1;5;cruzeiro;empresário;cartola;Amigos;Rádio;spotify;Sim;100,9;Tarde;Ouvir música;bazar maravilha;tutti maravilha
10/26/2015 20:44:55;17;1;1;Alto da Lapa;Estudante;Mariss Jansons;NA;Mídias Sociais (internet);Mídias Sociais (internet);Não;NA;NA;NA;NA;NA
10/27/2015 17:56:23;20;1;3;Santa Lúcia;Vendedor;Foo Fighters;TV;Mídias Sociais (internet);Mídias Sociais (internet);Sim;100,9;Manhã;Ouvir música, Ouvir notícias, Obter informações sobre o trânsito;Não;Não
11/01/2015 17:02;57;1;5;Asa Norte - Brasília - DF;Publicitário;Milton Nascimento;TV;Rádio;Mídias Sociais (internet);Sim;Nacional FM;Manhã;Ouvir música, Conhecer músicas novas, Ouvir notícias;Não;Não tenho preferência
11/02/2015 07:39;43;1;3;Riacho das Pedras;Metalúrgico;Chitaozinho e xororó;Rádio;Mídias Sociais (internet);Mídias Sociais (internet);Sim;92,9;Tarde;Ouvir música, Ouvir notícias, Obter informações sobre o trânsito;sim;Sim
11/02/2015 17:26;32;0;5;Centro;Professor;Roberta Miranda;Rádio;Rádio;Rádio;Sim;98 FM;Noite;Ouvir música, Ouvir notícias;Não;Não
